Cesta slov. kmečkih uporov,Cesta slovenskih kmečkih uporov
Naselje J. Kerenčiča,Naselje J. Kerenčiča
Trg mladinskih delov. brigad,Trg mladinskih delovnih brigad
Ul. Dragomirja Benčiča-Brkina,Ulica Dragomirja Benčiča-Brkina
Ul. herojev Mašere in Spasića,Ulica herojev Mašere in Spasića
Ulica A.M. Slomška,Ulica A.M. Slomška
Ulica I. štajer. bataljona,Ulica I. štajerskega bataljona
Ulica Kamniško-zasav. odreda,Ulica Kamniško-zasavskega odreda
Ulica mladinskih del. brigad,Ulica mladinskih delovnih brigad
Ulica P. Tomažiča,Ulica P. Tomažiča
Ulica slovenskih špan. borcev,Ulica slovenskih španskih borcev
